トピック,Phi,単語
10,0.0105272504834438,パソコン
2,0.108543318233297,の
10,0.0180913479879489,遠隔
10,0.0194068432061237,操作
10,0.0203934646197548,事件
12,0.218216977389934,は
10,0.0878125945512133,、
2,0.023605605889015,インターネット
10,0.055254087901387,を
13,0.0192013756209392,舞台
10,0.0641336806240669,に
13,0.0192013756209392,起き
10,0.05196534985595,た
13,0.0287542988154363,だけ
10,0.0641336806240669,に
10,0.00164765776076394,ネット
12,0.00500793335977807,利用
10,0.0161181051606867,者
10,0.0825506136785141,の
13,0.0287542988154363,関心
12,0.218216977389934,は
13,0.0192013756209392,高く
10,0.0878125945512133,、
10,0.00197653156530764,１
10,0.00690963863346313,０
2,0.0259649867874672,日
10,0.0878125945512133,、
10,0.00296315297893873,都内
10,0.0641336806240669,に
13,0.0192013756209392,住む
2,0.0259649867874672,３
10,0.00690963863346313,０
13,0.0287542988154363,歳
10,0.0825506136785141,の
2,0.0271446772366934,男
2,0.103824556436392,が
10,0.0213800860333859,逮捕
13,0.0478601452044304,さ
2,0.0932073423933569,れ
10,0.05196534985595,た
2,0.0507384862212161,こと
12,0.0198829829432773,について
12,0.218216977389934,は
10,0.0878125945512133,、
2,0.0118087013967536,報道
12,0.0545914319714422,さ
2,0.0932073423933569,れ
10,0.05196534985595,た
13,0.00964845242644207,当初
10,0.0118427457016186,から
12,0.0843415311384406,「
2,0.0011914873537184,本当に
10,0.00526526961074463,真犯人
12,0.0694664815549414,な
2,0.108543318233297,の
13,0.0383072220099333,か
12,0.089299880999607,」
13,0.0383072220099333,といった
12,0.0149246330821109,慎重
12,0.0694664815549414,な
13,0.0478601452044304,意見
2,0.103824556436392,が
13,0.00964845242644207,目立つ
13,0.0192013756209392,一方
10,0.0878125945512133,、
10,0.00954062906981273,「
10,0.0203934646197548,事件
12,0.218216977389934,は
13,0.0192013756209392,許さ
2,0.0932073423933569,れ
12,0.0496330821102757,ない
12,0.089299880999607,」
1,0.0711792086889087,という
13,0.0192013756209392,怒り
2,0.108543318233297,の
12,0.0149246330821109,声
2,0.0648947716119297,など
13,0.0192013756209392,さまざま
12,0.0694664815549414,な
13,0.0478601452044304,意見
10,0.0279575621242599,が
12,0.0149246330821109,サイト
10,0.0641336806240669,に
13,0.0287542988154363,掲載
13,0.0478601452044304,さ
2,0.0932073423933569,れ
2,0.107363627784071,て
2,0.0542775575688945,い
13,0.0574130683989275,ます
10,0.0424280095241827,。
2,0.023605605889015,インターネット
10,0.038810397674202,で
12,0.218216977389934,は
10,0.0878125945512133,、
3,0.041910535117057,１
10,0.00690963863346313,０
2,0.0259649867874672,日
10,0.0878125945512133,、
10,0.00296315297893873,都内
10,0.0641336806240669,に
13,0.0192013756209392,住む
2,0.0259649867874672,３
10,0.00690963863346313,０
13,0.0287542988154363,歳
10,0.0825506136785141,の
2,0.0271446772366934,男
10,0.0279575621242599,が
10,0.0213800860333859,逮捕
13,0.0478601452044304,さ
2,0.0932073423933569,れ
10,0.05196534985595,た
2,0.0507384862212161,こと
12,0.0198829829432773,について
10,0.0878125945512133,、
2,0.0118087013967536,報道
13,0.0478601452044304,さ
2,0.0932073423933569,れ
10,0.05196534985595,た
12,0.00996628322094448,ニュース
2,0.0648947716119297,など
10,0.055254087901387,を
13,0.0192013756209392,集め
10,0.0121716195061623,て
10,0.0203934646197548,事件
10,0.055254087901387,を
13,0.0192013756209392,独自
3,0.0941680602006692,に
13,0.00964845242644207,検証
10,0.00625189102437573,する
12,0.0843415311384406,「
13,0.00964845242644207,まとめ
13,0.00964845242644207,記事
12,0.089299880999607,」
2,0.103824556436392,が
12,0.00500793335977807,複数
13,0.00964845242644207,現れる
10,0.00493639580620093,など
13,0.00964845242644207,高い
13,0.0287542988154363,関心
10,0.055254087901387,を
13,0.0192013756209392,集め
2,0.107363627784071,て
10,0.00329202678348243,おり
10,0.0878125945512133,、
10,0.00526526961074463,掲示板
13,0.00964845242644207,や
12,0.00500793335977807,ツイッター
10,0.0878125945512133,、
12,0.00996628322094448,ニュース
12,0.0149246330821109,サイト
2,0.0648947716119297,など
13,0.0574130683989275,で
12,0.218216977389934,は
13,0.0192013756209392,さまざま
12,0.0694664815549414,な
13,0.0478601452044304,意見
2,0.103824556436392,が
13,0.0287542988154363,掲載
13,0.0478601452044304,さ
2,0.0932073423933569,れ
2,0.107363627784071,て
2,0.0542775575688945,い
13,0.0574130683989275,ます
10,0.0424280095241827,。
10,0.00197653156530764,この
10,0.000989910151676536,中
10,0.0641336806240669,に
12,0.218216977389934,は
10,0.0878125945512133,、
12,0.0843415311384406,「
13,0.0287542988154363,今回
12,0.0198829829432773,も
10,0.00526526961074463,誤認
10,0.0213800860333859,逮捕
12,0.0694664815549414,な
10,0.0825506136785141,の
13,0.0574130683989275,で
12,0.218216977389934,は
12,0.0496330821102757,ない
13,0.0383072220099333,か
12,0.089299880999607,」
10,0.00954062906981273,「
12,0.00500793335977807,主犯
12,0.218216977389934,は
12,0.00996628322094448,ほか
10,0.0641336806240669,に
2,0.0224259154397888,いる
2,0.108543318233297,の
13,0.0574130683989275,で
12,0.218216977389934,は
12,0.0496330821102757,ない
13,0.0383072220099333,か
12,0.089299880999607,」
13,0.0383072220099333,といった
12,0.0149246330821109,慎重
12,0.0694664815549414,な
13,0.0478601452044304,意見
10,0.0279575621242599,が
10,0.0878125945512133,、
2,0.00355086825217067,これ
13,0.0192013756209392,まで
10,0.0825506136785141,の
10,0.00493639580620093,警察
10,0.0825506136785141,の
10,0.0161181051606867,捜査
10,0.00394977439256983,へ
10,0.0825506136785141,の
13,0.00964845242644207,疑問
2,0.108543318233297,の
12,0.0149246330821109,声
13,0.0192013756209392,とともに
10,0.0878125945512133,、
12,0.00500793335977807,比較的
13,0.00964845242644207,目立っ
2,0.107363627784071,て
2,0.0542775575688945,い
13,0.0574130683989275,ます
10,0.0424280095241827,。
13,0.0192013756209392,一方
13,0.0574130683989275,で
10,0.0878125945512133,、
12,0.0843415311384406,「
10,0.0243399502742792,容疑
10,0.0161181051606867,者
2,0.103824556436392,が
10,0.00263427917439504,特定
12,0.0545914319714422,さ
10,0.00230540536985134,れる
10,0.0335484168015028,と
12,0.218216977389934,は
13,0.0192013756209392,思わ
12,0.00500793335977807,なかっ
10,0.05196534985595,た
12,0.089299880999607,」
13,0.0383072220099333,といった
13,0.00964845242644207,驚き
10,0.00493639580620093,や
10,0.0878125945512133,、
12,0.0843415311384406,「
13,0.00964845242644207,無関係
12,0.0694664815549414,な
13,0.00964845242644207,人間
10,0.055254087901387,を
10,0.000332162542589137,巻き込ん
10,0.00756738624255053,だ
